step,pair,freq,total_tokens,compression,time_sec
2075,[N][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],1895,20372543,4.4377,276
2076,[C][O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],1894,20370649,4.4382,276.1
2077,[C][N][Branch1][P],1893,20368756,4.4386,276.2
2078,[=C][C][Branch1][C],1891,20366865,4.439,276.3
2079,[N][C][Branch1][C][C][C],1890,20364975,4.4394,276.5
2080,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][N][Branch2][Ring1],1890,20363085,4.4398,276.6
2081,[=Branch1][C][C][C][C][N][C][=Branch1][C][=O],1888,20361197,4.4402,276.7
2082,[C][C@H1][Ring1][Branch1][C],1887,20359310,4.4406,276.8
2083,[C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F],1886,20358246,4.4409,276.9
2084,[C][Ring1][=Branch1][C][=Branch1][C][=O],1883,20356363,4.4413,277
2085,[N][C][C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][N],1881,20354482,4.4417,277.1
2086,[=C][C][=C][C][=C][C][=C][Ring1][=Branch1],1880,20352602,4.4421,277.3
2087,[/C][=C][/C@H1],1880,20350722,4.4425,277.4
2088,[/C][=C][\C][/C][=C][\C],1879,20349606,4.4427,277.5
2089,[O][C][=C][C][=C][Branch1][P],1876,20347730,4.4431,277.6
2090,[C][O][C][=C][C][=C][C][Branch2][Branch1],1874,20345856,4.4436,277.7
2091,[=Ring1][#C],1872,20343984,4.444,277.8
2092,[S][Ring2][Ring1][Ring1],1872,20342112,4.4444,277.9
2093,[C][C][Branch1][C][C][C][=N],1869,20340243,4.4448,278
2094,[C][Ring2][Ring1][O][=O],1867,20338376,4.4452,278.1
2095,[N][=C][Branch1][C][O],1865,20336511,4.4456,278.2
2096,[C][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O],1863,20334648,4.446,278.4
2097,[N][C][C][C][C][Ring1][Branch1][C][C],1863,20332785,4.4464,278.5
2098,[O][Ring2][Ring1][=C],1862,20330923,4.4468,278.6
2099,[C][=C][Branch1][N][NH1],1862,20329061,4.4472,278.7
2100,[O][C][O][Ring1][=Branch1][C],1862,20327199,4.4476,278.8
2101,[C][=C][C@@H1],1861,20325338,4.448,278.9
2102,[C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][Branch2],1859,20323479,4.4485,279
2103,[C@][Ring1],1856,20321623,4.4489,279.1
2104,[C@][Ring1][#C],1856,20319767,4.4493,279.2
2105,[O][=C][Branch1][Ring1][N],1856,20317911,4.4497,279.3
2106,[Ring1][C][#N][=C][Ring1][Branch2],1856,20316055,4.4501,279.4
2107,[C][=Ring2][Ring1][Ring1],1856,20314199,4.4505,279.5
2108,[N][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2],1855,20312344,4.4509,279.6
2109,[Branch1][C][F][C][=C][Ring1][Branch2],1854,20310490,4.4513,279.8
2110,[Branch1][C][N][N][=C][Ring1][#Branch1],1854,20308636,4.4517,279.8
2111,[N][C][=C][C][=N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][O][Ring1][#Branch1],1854,20306782,4.4521,280
2112,[C@H1][Branch1][Branch2],1853,20304929,4.4525,280.1
2113,[C][=C][C][Branch2][Ring1][Branch1],1851,20303078,4.4529,280.2
2114,[C][N][Branch1][#Branch1][C@H1][Branch1][C][C],1851,20301227,4.4533,280.3
2115,[C][=Ring2][Ring1][Ring2],1849,20299378,4.4537,280.4
2116,[=C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2],1849,20297529,4.4541,280.5
2117,[N][=N+1][=N-1],1848,20295681,4.4545,280.6
2118,[C][C][=C][C][=C][Branch2][Ring1][#C],1847,20293834,4.4549,280.7
2119,[C][=Branch1][C][=O][N][Ring1][Branch2],1847,20291987,4.4554,280.8
2120,[O][C][C@H1][O][C@@H1][Branch1],1847,20290140,4.4558,280.9
2121,[N][C@@H1][C][C],1846,20288294,4.4562,281
2122,[C][C][=C][C][=C][Branch2][Ring2][Ring1],1845,20286449,4.4566,281.1
2123,[C][C][Ring2][Ring1][P],1843,20284606,4.457,281.2
2124,[C][=C][Ring2][Ring1][Ring1][O][C],1842,20282764,4.4574,281.3
2125,[O][C@][Branch1][C][C],1842,20280922,4.4578,281.4
2126,[C][#C][C][=C][C][=C],1842,20279080,4.4582,281.5
2127,[N][C@H1][Branch2][Ring1],1840,20277240,4.4586,281.6
2128,[=C][C][=Branch1][C][=O][N],1839,20275401,4.459,281.7
2129,[C][=C][Ring2][Branch1],1838,20273563,4.4594,281.8
2130,[O][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1],1838,20271725,4.4598,281.9
2131,[C][Ring2][Ring1][Branch1][=C][Ring2][Ring1][=Branch2],1833,20269892,4.4602,282
2132,[C][=C][Branch2][Ring1][#C],1830,20268062,4.4606,282.1
2133,[C][C][C][N][C][C][Ring1][=Branch1],1830,20266232,4.461,282.2
2134,[O][N][=Ring2],1827,20264405,4.4614,282.3
2135,[C][/C],1826,20262579,4.4618,282.4
2136,[Branch1][C][F][C][Branch1][C][Cl][=C][Ring1][Branch2],1825,20260754,4.4622,282.6
2137,[C][=N][C][Branch1][S],1823,20258931,4.4626,282.7
2138,[Ring2][Branch1][Ring2],1823,20257108,4.463,282.8
2139,[N][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C],1823,20255285,4.4634,282.9
2140,[C][C@H1][Branch1][C][C],1820,20253465,4.4638,282.9
2141,[O][=C][Branch2][Ring2][Ring2],1819,20251646,4.4642,283
2142,[N][=N][N][Ring1][Branch1][C],1819,20249827,4.4646,283.2
2143,[C][Ring1][O][=C][Ring1][#C],1819,20248008,4.465,283.3
2144,[N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1],1819,20246189,4.4654,283.4
2145,[C][C@@H1][Branch1][C][O],1818,20244371,4.4658,283.5
2146,[C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][#Branch1],1817,20242554,4.4662,283.6
2147,[C][C][=C][Branch1][=Branch2],1815,20240739,4.4666,283.7
2148,[Ring2][Ring1][=Branch1][=O],1814,20238925,4.467,283.8
2149,[O][N][C][=N],1811,20237114,4.4674,283.9
2150,[C][C][N][C][=C][Branch1],1811,20235303,4.4678,284
2151,[=Ring1][Branch2],1809,20233494,4.4682,284.1
2152,[/C][=C][/C@@H1],1808,20231686,4.4686,284.2
2153,[C@][Ring1][Branch2],1807,20229879,4.469,284.4
2154,[C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],1807,20228072,4.4694,284.5
2155,[C][Branch2][Ring1][N],1805,20226267,4.4698,284.5
2156,[C][=Ring1][Branch1][C][C],1805,20224462,4.4702,284.6
2157,[C][=C][Ring2][Ring1][=N][O][C],1805,20222657,4.4706,284.7
2158,[O][Ring2][Ring1][=N],1803,20220854,4.471,284.9
2159,[C][Branch1][C][Br][=C][Ring1][Branch2],1803,20219051,4.4714,285
2160,[O][C][=C][Branch1],1801,20217250,4.4718,285.1
2161,[C][=Branch1][C][=O][O][C@@H1],1801,20215449,4.4722,285.2
2162,[C][C][=N][NH1][C][=Ring1][Branch1],1800,20213649,4.4726,285.3
2163,[=C][S][Ring1][O],1799,20211850,4.473,285.4
2164,[N][C][=Branch1][C][=O][C@@H1][Branch1][C][N],1797,20210053,4.4734,285.5
2165,[C][=C][C][=Branch2],1797,20208256,4.4738,285.6
2166,[C][=Branch1][C][=O][NH1][C][Ring1][Branch2][=O],1797,20206459,4.4742,285.7
2167,[N][Branch1][N][C][C],1796,20204663,4.4746,285.8
2168,[NH1][N][=C],1795,20202868,4.475,285.9
2169,[C][=N][C][Branch1][C],1790,20201078,4.4754,286
2170,[S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C],1787,20199291,4.4758,286.1
2171,[N][=C][Branch1][C][N][N][=C][Ring1][#Branch1],1787,20197504,4.4762,286.2
2172,[Branch2][Ring1][=Branch1][C],1786,20195718,4.4766,286.3
2173,[Branch1][C][N][=N],1786,20193932,4.477,286.4
2174,[C][C@@H1][Branch1][C][O][C],1786,20192146,4.4774,286.5
2175,[N][=C][Ring1][O],1784,20190362,4.4778,286.6
2176,[N][C][=N][C][=C][Branch1],1784,20188578,4.4782,286.7
2177,[C][C][Branch1][C][C][Branch1][C][C][C][C],1784,20186794,4.4786,286.9
2178,[=C][C][=N][C][=N],1782,20185012,4.479,287
2179,[C][C][C][C][C][O],1779,20183233,4.4794,287
2180,[C@@H1][Ring1][=C],1779,20181454,4.4798,287.1
2181,[C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1],1779,20179675,4.4802,287.2
2182,[N][C][=C][C][=C][Branch1][C][F][C][Branch1][C][Cl][=C][Ring1][Branch2],1779,20177896,4.4805,287.3
2183,[Ring2][Ring2][N],1777,20176119,4.4809,287.4
2184,[C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O],1777,20174342,4.4813,287.5
2185,[Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F],1777,20172565,4.4817,287.6
2186,[C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2],1776,20170789,4.4821,287.7
2187,[C][C][Branch1][C],1774,20169015,4.4825,287.8
2188,[C][=C][C][=C][N][=C][Ring1][#Branch2][Ring1][=Branch1],1773,20167242,4.4829,287.9
2189,[Ring1][C][#N][=C][Branch1][C][N],1772,20165470,4.4833,288
2190,[C][/C][=C][/C][=C],1770,20163700,4.4837,288.1
2191,[=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O],1768,20161932,4.4841,288.2
2192,[C][N+1][=C],1767,20160165,4.4845,288.3
2193,[C][=C][Ring1][N][C][=Branch1][C][=O],1766,20158399,4.4849,288.4
2194,[C][=C][C][=Branch1][C][=O][N],1766,20156633,4.4853,288.5
2195,[N][C][=Branch1][C][=O][C][=C][C][=C][S][Ring1][Branch1],1766,20154867,4.4857,288.6
2196,[N][C][=C][C][=N][C][=C][Ring1][=Branch1],1765,20153102,4.4861,288.7
2197,[NH1][C][=N],1764,20151338,4.4865,288.8
2198,[C][C][C][C][N],1763,20149575,4.4868,288.9
2199,[N][Branch1][Ring1][C][C],1763,20147812,4.4872,288.9
2200,[C][C][Branch1][C][C][=C][C][C],1763,20146049,4.4876,289.1
2201,[O][C@@H1][O][C@H1][Branch1][C][C][C][C@H1][Branch1][=Branch1][N][Branch1][C][C][C][C@H1][Ring1][#Branch2],1763,20144286,4.488,289.1
2202,[C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C],1762,20142524,4.4884,289.2
2203,[C][C][C][=Branch1][C][=O][O],1760,20140764,4.4888,289.3
2204,[C][=C][C][=C][C][Branch1][Ring1][C][#N][=C][Ring1][Branch2],1760,20139004,4.4892,289.5
2205,[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][O],1759,20137245,4.4896,289.6
2206,[C][Ring1][=C][=C][Ring2][Ring1][C],1759,20135486,4.49,289.7
2207,[=C][Branch1][C][O][C],1758,20133728,4.4904,289.8
2208,[C][C][=C][C][Branch1][C][Cl][=C],1758,20131970,4.4908,289.9
2209,[=Ring1][N],1757,20130213,4.4912,290
2210,[S][/C],1755,20128458,4.4916,290.1
2211,[C][=C][C][=C][Branch1][N],1754,20126704,4.4919,290.2
2212,[C@@][Ring1][S],1753,20124951,4.4923,290.3
