step,pair,freq,total_tokens,compression,time_sec
1,[C][=C],9408974,80999028,1.1162,1.1
2,[C][C],6994190,75938233,1.1905,2
3,[C][=C][C][=C],3784817,73133144,1.2362,2.9
4,[=Branch1][C],3063920,70069224,1.2903,3.8
5,[=Branch1][C][=O],2490379,67578845,1.3378,4.6
6,[Branch1][C],1954557,65624288,1.3777,5.3
7,[C][=C][Ring1],1816263,63808025,1.4169,6
8,[Ring2][Ring1],1479693,62328332,1.4505,6.8
9,[C][=Branch1][C][=O],1384238,60944094,1.4835,7.5
10,[Branch1][C][C],1237203,59706891,1.5142,8.2
11,[Branch2][Ring1],1022442,58684449,1.5406,8.9
12,[C][=C][C][=C][C][=C][Ring1],876783,57807666,1.5639,9.3
13,[O][C],703071,57104595,1.5832,9.8
14,[N][C][C],698950,56405645,1.6028,10.2
15,[C][Branch1],647185,55758460,1.6214,10.7
16,[=C][Ring1],634558,55123902,1.6401,11.1
17,[C][=C][C][=C][C][=C][Ring1][=Branch1],629394,54494508,1.659,11.6
18,[C][=N],591986,53902522,1.6772,12
19,[C][Branch1][C],559046,53343476,1.6948,12.4
20,[C][C][C][C],544245,52931351,1.708,12.7
21,[N][C][=Branch1][C][=O],540888,52390463,1.7257,13.2
22,[C][O],528573,51861890,1.7432,13.7
23,[C][Ring1],472634,51389256,1.7593,14.1
24,[N][=C],419274,50969982,1.7737,14.5
25,[C][=C][Ring2][Ring1],402083,50567899,1.7879,14.8
26,[C][N],378568,50189331,1.8013,15.3
27,[C][=C][C][=C][Branch1],360337,49828994,1.8144,15.6
28,[Ring1][=Branch1],357295,49471699,1.8275,16
29,[C][=C][Ring1][#Branch1],352553,49119146,1.8406,16.3
30,[O][=C],351879,48767267,1.8539,16.7
31,[O][C][C],345236,48422031,1.8671,17.1
32,[Branch1][C][F],340647,48081384,1.8803,17.5
33,[Branch2][Ring2],326597,47754787,1.8932,17.9
34,[Branch1][C][O],279091,47475696,1.9043,18.3
35,[N][Branch1],273438,47202258,1.9153,18.7
36,[C][Branch2][Ring1],267541,46934717,1.9263,19
37,[C][C][=C][C][=C],246351,46688366,1.9364,19.5
38,[N][C][=C][C][=C],244949,46443417,1.9466,19.8
39,[C][C][=C],242522,46200895,1.9568,20.2
40,[=Branch1][C][=O][=Branch1][C][=O],211416,45989479,1.9658,20.5
41,[/C][=C],211263,45778216,1.9749,20.8
42,[S][=Branch1][C][=O][=Branch1][C][=O],210112,45568104,1.984,21.2
43,[N][Ring1],208390,45359714,1.9931,21.4
44,[C][C][=Branch1][C][=O],205282,45154432,2.0022,21.9
45,[C][=C][Branch1],199063,44955369,2.0111,22.2
46,[Branch1][C][Cl],193178,44762191,2.0197,22.5
47,[C][Branch1][C][F],192090,44570101,2.0284,22.8
48,[C][C][Ring1],191442,44378659,2.0372,23
49,[C][=C][C][=C][C][=C][Ring1][=Branch1][C],189520,44189139,2.0459,23.3
50,[N][=C][Ring1],177596,44011543,2.0542,23.6
51,[N][C],174793,43836750,2.0624,23.9
52,[C][O][C][=C][C][=C],169783,43666967,2.0704,24.3
53,[=C][Ring2][Ring1],169325,43497642,2.0785,24.6
54,[C][C][Branch1][C][C],165673,43331969,2.0864,25
55,[Ring2][Ring2],163534,43187600,2.0934,25.3
56,[Ring1][O],154041,43033559,2.1009,25.6
57,[C@H1][Branch1],152399,42881160,2.1083,25.9
58,[C][=Branch1][C][=O][N],149996,42731164,2.1157,26.3
59,[C][=C][C][Branch1],144964,42586200,2.1229,26.6
60,[Branch1][C][F][F],141239,42444961,2.13,26.9
61,[C][Ring2][Ring1],140177,42304784,2.1371,27.2
62,[O][Ring1],139055,42165729,2.1441,27.4
63,[C@@H1][Branch1],133833,42031896,2.1509,27.7
64,[O][C][=Branch1][C][=O],131760,41900136,2.1577,28
65,[Branch1][C][C][C],130763,41769373,2.1645,28.4
66,[C][Branch1][C][Cl],121690,41647683,2.1708,28.6
67,[C][=C][C][=C][Branch2][Ring1],118459,41529224,2.177,28.9
68,[=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],115478,41413746,2.183,29.1
69,[N][C][=N],114095,41299651,2.1891,29.4
70,[Ring1][#Branch1],113422,41186229,2.1951,29.7
71,[=Branch1][C][=Branch1][C][=O],111249,41074980,2.201,30
72,[C][Ring1][=Branch1],110373,40964607,2.207,30.2
73,[Branch1][C][N],110321,40854286,2.2129,30.5
74,[C][N][C][C],109267,40745019,2.2189,30.8
75,[C][=Branch1],108645,40636374,2.2248,31.1
76,[Ring1][#Branch2],108021,40528353,2.2307,31.3
77,[Branch1][C][O][C],107332,40421021,2.2367,31.6
78,[Branch1][C][Cl][C][=C][Ring1][#Branch1],107018,40314003,2.2426,31.9
79,[C][Branch1][C][C],104410,40209593,2.2484,32.2
80,[C][Branch1][C][F][Branch1][C][F][F],103252,40106341,2.2542,32.4
81,[N][Branch2][Ring1],102459,40003882,2.26,32.7
82,[Ring1][Branch1],100069,39903813,2.2656,32.9
83,[C][N][C][=Branch1][C][=O],98843,39804970,2.2713,33.2
84,[N][=C][Branch1],95072,39709898,2.2767,33.4
85,[Ring1][=Branch2],93649,39616249,2.2821,33.7
86,[N][=N],89935,39526314,2.2873,34
87,[C][C][Ring2][Ring1],89265,39437049,2.2925,34.3
88,[C][C@H1],88782,39348267,2.2976,34.6
89,[Branch1][C][F][C][=C][Ring1][#Branch1],88481,39259786,2.3028,34.8
90,[C][=Ring1],87248,39172538,2.3079,35
91,[=Branch2][C][Branch1][C][F][Branch1][C][F][F],87243,39085295,2.3131,35.3
92,[Ring1][C],85411,38999884,2.3182,35.5
93,[Branch1][C][C][C][C],85207,38914677,2.3232,35.8
94,[#Branch2][C],84009,38830668,2.3283,36.1
95,[C][=Branch1][Ring2],83708,38746960,2.3333,36.4
96,[N][C][=C],81464,38665496,2.3382,36.6
97,[=C][Ring1][#Branch1],80166,38585330,2.3431,36.9
98,[C][S],80010,38505320,2.3479,37.2
99,[O][=C][Branch1],79473,38425847,2.3528,37.4
100,[C][=C][Ring1][#Branch2],78514,38347333,2.3576,37.7
101,[C][=Branch1][C][=O][N][C][C],76831,38270502,2.3623,37.9
102,[C][C@@H1],76669,38193833,2.3671,38.2
103,[Branch2][Branch1],76387,38117446,2.3718,38.5
104,[C][Branch2][Ring2],75823,38041623,2.3766,38.8
105,[Ring1][=N],75522,37966101,2.3813,39
106,[C][=Branch1][Ring2][=C][Ring1],74642,37891459,2.386,39.3
107,[N][Branch1][C][C],73455,37818004,2.3906,39.6
108,[C][C][=N],73447,37744557,2.3953,39.8
109,[=Branch1][C][=O][O-1],71821,37672736,2.3998,40.1
110,[C][=C][Ring1][Branch2],71622,37601114,2.4044,40.3
111,[O][C][=C][C][=C],71358,37529756,2.409,40.6
112,[N+1][=Branch1][C][=O][O-1],71156,37458600,2.4135,40.9
113,[C][C][C][N],71143,37387457,2.4181,41.2
114,[C][O][C][=Branch1][C][=O],69059,37318398,2.4226,41.4
115,[=N][Ring2][Ring1],66344,37252054,2.4269,41.7
116,[O][=C][Branch2][Ring1],64154,37187900,2.4311,41.9
117,[C][=C][Ring1][=Branch2],63952,37123948,2.4353,42.2
118,[C][=C][Ring1][=Branch1],63642,37060306,2.4395,42.4
119,[C][C][C][C][C][C],62942,36997364,2.4436,42.7
120,[=C][Ring1][Branch2],62089,36935275,2.4477,42.9
121,[C][=C][C][=N],61741,36873534,2.4518,43.1
122,[C][=C][Branch2][Ring1],61508,36812026,2.4559,43.4
123,[Ring1][=C],61281,36750745,2.46,43.6
124,[N][Ring2][Ring1],61277,36689468,2.4641,43.8
125,[Ring1][S],60662,36628806,2.4682,44
126,[C][=C][C][Branch2][Ring1],59892,36568914,2.4723,44.3
127,[O][C][Branch1][C][C],59111,36509803,2.4763,44.5
128,[Ring1][Branch2],58659,36451144,2.4803,44.8
129,[C][=Branch1][Ring2][=C][Ring1][=Branch1],57851,36393293,2.4842,45
130,[Ring1][#C],57834,36335459,2.4881,45.2
131,[O][C@@H1],56832,36278627,2.492,45.5
132,[=C][Ring1][#Branch2],56339,36222288,2.4959,45.7
133,[N][C][C][C][C],55797,36166491,2.4998,45.9
134,[=Branch1][N+1][=Branch1][C][=O][O-1],55688,36110803,2.5036,46.1
135,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O],55683,36055120,2.5075,46.4
136,[C][=C][C][=C][C][Branch1],55506,35999614,2.5114,46.6
137,[Ring1][O][C],55099,35944515,2.5152,46.8
138,[Branch1][C][=Branch1][C][=O],54119,35890396,2.519,47
139,[O][C][C][Ring1][=Branch1],52088,35838308,2.5227,47.3
140,[Branch1][C][O][C@H1],51805,35786503,2.5263,47.5
141,[Ring1][N],50830,35735673,2.5299,47.7
142,[C][O][C][=C][C][=C][Branch2][Ring1],50713,35684960,2.5335,47.9
143,[O][C@H1],49612,35635348,2.537,48.2
144,[Ring1][=Branch1][C],48935,35586413,2.5405,48.4
145,[N][=C][Ring1][=Branch1],48668,35537745,2.544,48.6
146,[C][=C][N][=C],48583,35489162,2.5475,48.8
147,[C][Branch1][C][Cl][=C],48561,35440601,2.551,49
148,[Ring1][P],48100,35392501,2.5544,49.2
149,[O][Ring2][Ring1],47573,35344928,2.5579,49.5
150,[/C][=C][/C][=C],47511,35298526,2.5612,49.7
151,[C][N][Branch1],47401,35251125,2.5647,49.9
152,[Ring1][C][#N],47381,35203744,2.5681,50.1
153,[C][C][C][Ring1],47201,35156543,2.5716,50.4
154,[C][=C][C][Branch1][C],47088,35109455,2.575,50.5
155,[Branch1][C][Br],46270,35063185,2.5784,50.7
156,[C][C][O][C][=Branch1][C][=O],45608,35017577,2.5818,50.9
157,[C][=C][Branch1][C][C],45414,34972163,2.5851,51.2
158,[Ring1][C][O],44675,34927488,2.5884,51.4
159,[C][C][C@H1],43910,34883578,2.5917,51.7
160,[N][=C][Ring2][Ring1],43579,34839999,2.5949,51.9
161,[C][C][C][C][C][C][C][C],42738,34807719,2.5974,52.1
162,[N][S][=Branch1][C][=O][=Branch1][C][=O],42404,34765315,2.6005,52.3
163,[C][=C][C][=C][Ring1][=Branch1],42365,34722950,2.6037,52.5
164,[C][Ring1][#Branch1],41657,34681293,2.6068,52.7
165,[N][C][=C][C][=C][Branch1],41414,34639879,2.6099,52.9
166,[#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1],41237,34598642,2.6131,53.1
167,[C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],40628,34558014,2.6161,53.3
168,[C][C][=C][C][=C][Branch2][Ring1],40510,34517504,2.6192,53.5
169,[O][C][=C][C][=C][C][=C][Ring1][=Branch1],40457,34477047,2.6223,53.7
170,[C][C][Branch1],40107,34436940,2.6253,53.9
171,[Ring1][O][C][C],39737,34397203,2.6284,54.1
172,[C][C][=C][C][=C][C][=C][Ring1][=Branch1],39372,34357831,2.6314,54.3
173,[N][C][C][O][C][C][Ring1][=Branch1],38707,34319124,2.6343,54.4
174,[/N][=C],38341,34280783,2.6373,54.6
175,[=Branch1][C][=O][=O],38033,34242750,2.6402,54.8
176,[O][C][Branch1],37937,34204813,2.6431,54.9
177,[N][C][C][N][Branch1],37910,34166903,2.6461,55.1
178,[Ring2][Ring1][Ring2],37863,34129040,2.649,55.3
179,[C][=C][Ring1][#C],37645,34091395,2.6519,55.5
180,[C][=Branch1][C][=O][O],37435,34053960,2.6548,55.7
181,[C][Branch1][=Branch2],36723,34017237,2.6577,55.9
182,[C][C][N][Branch1],36450,33980787,2.6606,56
183,[C][C][=Branch1][C][=O][N],36439,33944348,2.6634,56.3
184,[N][C][=Branch1][C][=O][C][=C][C][=C],36402,33907946,2.6663,56.5
185,[N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],36278,33871668,2.6691,56.7
186,[Branch2][Ring2][Ring1],36237,33835431,2.672,56.9
187,[C][=C][Ring1][S],35933,33799498,2.6748,57.1
188,[Branch1][C][O][C][=C][Ring1][#Branch1],35494,33764004,2.6776,57.3
189,[C][O][C][=C][C][=C][Branch2][Ring2],35492,33728512,2.6805,57.5
190,[=C][C][=C][Ring2][Ring1],35200,33693312,2.6833,57.7
191,[C][=C][Ring1][P],35041,33658271,2.6861,57.9
192,[=C][Ring1][=Branch2],34925,33623346,2.6888,58.1
193,[Ring2][Ring1][Ring1],34855,33588491,2.6916,58.3
194,[C][=C][Ring2][Ring2],34836,33553655,2.6944,58.5
195,[C@@H1][Branch1][C][C],34706,33518949,2.6972,58.8
196,[C][C][=C][C][=C][Branch1],34236,33484713,2.7,59
197,[C][N][Branch1][C][C],34021,33450692,2.7027,59.2
198,[C][=C][C][=C][Branch2][Ring2],33718,33416974,2.7055,59.4
199,[C][=C][Ring1][=N],33485,33383489,2.7082,59.6
200,[Branch1][C][N][=O],33171,33350318,2.7109,59.8
201,[N][=C][Branch2][Ring1],33157,33317161,2.7136,60
202,[C][O][C],33097,33284064,2.7163,60.2
203,[S][Ring1][Branch1],33010,33251054,2.719,60.3
204,[C][C][Branch1][C][C][Branch1][C][C],32981,33218073,2.7217,60.6
205,[N][C][=C][C][=C][C][=C][Ring1][=Branch1],32915,33185158,2.7244,60.8
206,[/C][=C][/C],32557,33152601,2.727,61
207,[C][Branch1][C][Cl][=C][Ring1][#Branch1],32478,33120123,2.7297,61.1
208,[C][C][O],32001,33088122,2.7323,61.4
209,[C][=N][Ring1][=Branch1],31982,33056140,2.735,61.6
210,[N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],31973,33024167,2.7376,61.7
211,[C][Ring1][Branch1],31682,32992485,2.7403,61.9
212,[=Branch1][C][=S],31633,32960852,2.7429,62.1
213,[C][Branch1][C][O],31547,32929305,2.7455,62.3
214,[=Branch1][C][=N],31521,32897784,2.7481,62.5
215,[C][=C][C][Branch1][C][Cl][=C],31491,32866293,2.7508,62.6
216,[/C][=Branch1],31394,32834899,2.7534,62.8
217,[C@@H1][Branch2][Ring1],31228,32803671,2.756,63
218,[C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],31147,32772524,2.7587,63.2
219,[C][=C][Ring1][=C],31080,32741444,2.7613,63.4
220,[N][#C],30801,32710643,2.7639,63.6
221,[=C][C][Branch1],30775,32679868,2.7665,63.8
222,[C][Branch1][C][C][Branch1][C][C],30720,32649148,2.7691,64
223,[C][=N][C][Branch1],30537,32618611,2.7717,64.2
224,[=C][Branch1],30177,32588434,2.7742,64.4
225,[C][=C][C][=C][Ring1][#Branch1],30169,32558265,2.7768,64.6
226,[=Branch1][C][=Branch1][C][=O][O],30025,32528240,2.7794,64.8
227,[Ring1][C][C],29996,32498244,2.7819,64.9
228,[Ring2][Ring1][Branch1],29995,32468249,2.7845,65.2
229,[O][Ring1][Branch1],29914,32438335,2.7871,65.3
230,[Ring2][Ring1][=Branch1],29830,32408505,2.7896,65.6
231,[Branch1][C][O][C@@H1],29571,32378934,2.7922,65.7
232,[C][=C][C][=C][C][Ring1][=Branch1],29507,32349427,2.7947,65.9
233,[C][C][=C][Branch1],29347,32320080,2.7973,66.1
234,[O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],29286,32290794,2.7998,66.3
235,[O][C][C][=Branch1][C][=O],29196,32261598,2.8023,66.4
236,[C@H1][Branch1][C][C],29194,32232404,2.8049,66.6
237,[Ring2][Ring1][#Branch1],28895,32203509,2.8074,66.9
238,[Branch1][C][F][Branch1][C][F][F],28676,32174833,2.8099,67.1
239,[N][C][C][C][C][Ring1],28551,32146282,2.8124,67.2
240,[P][=Branch1][C][=O],28415,32117867,2.8149,67.4
241,[O][Ring1][=Branch1],28216,32089651,2.8174,67.6
242,[O][C][Branch1][C][C][=O],28193,32061458,2.8198,67.8
243,[C][=C][Ring2][Ring1][=Branch1],27942,32033516,2.8223,67.9
244,[N][C][Branch1],27714,32005802,2.8247,68.1
245,[Ring1][Ring1],27481,31978588,2.8271,68.2
246,[C][O][C][=C][C][=C][Branch1],27159,31951429,2.8295,68.4
247,[C][=C][Ring2][Ring1][#Branch1],26943,31924486,2.8319,68.6
248,[C][=C][Ring1][N],26848,31897638,2.8343,68.8
249,[C][Branch1][C][F][=C],26680,31870958,2.8367,68.9
250,[C][=C][C][Branch1][Ring1][O],26598,31844360,2.8391,69.2
251,[N][C][C][N][Branch2][Ring1],26567,31817793,2.8414,69.3
252,[N][C][Branch1][C][C],26557,31791236,2.8438,69.5
253,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1],26354,31764882,2.8462,69.7
254,[C][=C][Ring2][Ring1][Branch2],26316,31738566,2.8485,69.8
255,[C][Branch1][C][Cl][=C][Ring1][Branch2],26294,31712272,2.8509,70
256,[C][=C][Ring2][Ring1][=Branch2],26234,31686038,2.8532,70.2
257,[N][=Ring1],26216,31659822,2.8556,70.3
258,[Branch1][C][Br][C][=C][Ring1][#Branch1],26158,31633664,2.858,70.5
259,[N][Branch2][Ring2],25684,31607980,2.8603,70.7
260,[C][NH1],25511,31582469,2.8626,70.9
261,[C][=C][Ring2][Ring1][Ring2],25470,31556999,2.8649,71.1
262,[N][Branch1][C][C][C],25461,31531538,2.8672,71.3
263,[C][S][=Branch1][C][=O][=Branch1][C][=O],25451,31506087,2.8695,71.5
264,[C][=C][Ring2][Ring1][Ring1],25274,31480813,2.8718,71.6
265,[Branch1][C][O][C][C],25210,31455603,2.8741,71.8
266,[N][C][C][=C][C][=C],25044,31430559,2.8764,72
267,[=N][C][C][=C][C][=C],24995,31405564,2.8787,72.2
268,[C][=C][Ring2][Ring1][Branch1],24823,31380741,2.881,72.3
269,[C@@][Branch1][C][C],24753,31355988,2.8833,72.6
270,[N][C][=Branch1][C][=O][C@H1][Branch1],24536,31331452,2.8855,72.8
271,[C][=C][C][=C][Branch1][=Branch2],24500,31306952,2.8878,73
272,[\C][=C],24352,31282600,2.89,73.1
273,[C][N][Branch2][Ring1],24308,31258292,2.8923,73.3
274,[Ring2][Ring2][Ring1],24260,31234032,2.8945,73.5
275,[C@H1][Branch2][Ring1],24237,31209795,2.8968,73.7
276,[N][Branch1][=Branch2],24090,31185705,2.899,73.8
277,[=Branch1][C][Branch1][C][C],23962,31161743,2.9012,74
278,[C][=C][C][=C][N][=C][Ring1][=Branch1],23808,31137935,2.9035,74.2
279,[O][C][=N],23777,31114158,2.9057,74.3
280,[C][O][C][C],23753,31090405,2.9079,74.5
281,[Ring2][Ring1][Branch2],23659,31066746,2.9101,74.6
282,[Ring1][Branch1][C],23610,31043136,2.9123,74.8
283,[C][=C][S],23603,31019533,2.9146,75
284,[C@][Branch1][C][C],23576,30995957,2.9168,75.2
285,[C][=C][C][=C][C][=C][Ring1][=Branch2],23501,30972456,2.919,75.4
286,[Branch1][C][C][C][=C][Ring1][#Branch1],23491,30948965,2.9212,75.6
287,[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],23347,30925618,2.9234,75.7
288,[C][O][C][=C],23317,30902301,2.9256,75.9
289,[C][C][C@@H1],23071,30879230,2.9278,76.2
290,[C][Ring1][#Branch2],23014,30856216,2.93,76.3
291,[Branch1][Ring2],22993,30833223,2.9322,76.5
292,[C][=C][Ring2][Ring1][#Branch2],22897,30810326,2.9343,76.6
293,[Branch1][Ring1][O],22858,30787468,2.9365,76.8
294,[C][=C][Ring1][O],22839,30764629,2.9387,77
295,[C][=C][C][=C][C][Branch2][Ring1],22800,30741829,2.9409,77.2
296,[Ring2][Ring1][=Branch2],22778,30719051,2.9431,77.4
297,[C][=Ring2],22687,30696364,2.9452,77.5
298,[C][=C][NH1],22474,30673890,2.9474,77.7
299,[O][C][C][C][C],22422,30651468,2.9495,77.9
300,[Branch2][C][C],22188,30629280,2.9517,78
301,[C][=Branch1][C][=O][O][C],22104,30607176,2.9538,78.2
302,[N][C@@H1][Branch1],22073,30585103,2.9559,78.4
303,[Branch1][C][C][=Branch1][C][=O][=O],22026,30563077,2.9581,78.6
304,[Ring1][Branch1][C][=Branch1][C][=O],21880,30541197,2.9602,78.8
305,[#C][C][=C][C][=C],21876,30519321,2.9623,78.9
306,[C][=C][Branch1][C][Cl],21874,30497447,2.9644,79.1
307,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],21703,30475744,2.9666,79.3
308,[C][C][Ring1][=N],21623,30454121,2.9687,79.5
309,[C][Branch1][C][F][=C][Ring1][#Branch1],21553,30432568,2.9708,79.7
310,[S][Branch1][C][C][=Branch1][C][=O][=O],21411,30411157,2.9729,79.9
311,[C][C][=C][C][=C][Branch2][Ring2],21395,30389762,2.9749,80
312,[N][=C][Branch1][C][N],21265,30368497,2.977,80.2
313,[C][C][Ring1][#Branch1],21262,30347235,2.9791,80.3
314,[C][Ring1][Branch2],21247,30325988,2.9812,80.5
315,[O][C][=C][C][=C][Branch1],21219,30304769,2.9833,80.6
316,[C][Ring1][=N],21172,30283597,2.9854,80.8
317,[O][=C][Branch1][C][O],21020,30262577,2.9875,81
318,[C][=C][Branch1][C][O],20944,30241633,2.9895,81.1
319,[=C][Ring1][P],20933,30220700,2.9916,81.3
320,[Ring2][Ring1][C],20844,30199856,2.9937,81.4
321,[C][S][C][=N],20636,30179220,2.9957,81.5
322,[Branch2][C][=C][C][=C],20634,30158586,2.9978,81.7
323,[C][C][C][Ring1][Ring1],20587,30137999,2.9998,81.8
324,[N][Ring1][Branch1],20549,30117450,3.0018,82
325,[N][=C][Ring1][#Branch1],20471,30096979,3.0039,82.1
326,[C][Ring1][#C],20361,30076618,3.0059,82.3
327,[C][C][=Branch1][C][=O][N][C][C],20334,30056284,3.008,82.4
328,[C][Ring1][=C],20310,30035974,3.01,82.6
329,[Branch1][C][O-1],20303,30015671,3.012,82.8
330,[C][=Branch1][C][=O][N][C][=C][C][=C],20292,29995379,3.0141,83
331,[Ring2][Ring1][#Branch2],20225,29975154,3.0161,83.1
332,[C][N][C][=N],20208,29954946,3.0181,83.3
333,[=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2],20175,29934771,3.0202,83.4
334,[C][C][N][C][=Branch1][C][=O],19964,29914807,3.0222,83.6
335,[=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2],19953,29894854,3.0242,83.7
336,[C][=C][C][=N][C][=C][Ring1][=Branch1],19815,29875039,3.0262,83.9
337,[O][C@H1][Branch1],19765,29855274,3.0282,84
338,[Branch2][=Branch1],19694,29835580,3.0302,84.2
339,[S][C][=N],19593,29815987,3.0322,84.4
340,[N][Ring1][=Branch2],19578,29796409,3.0342,84.5
341,[N][=O],19548,29776861,3.0362,84.7
342,[C][Branch1][=N],19528,29757333,3.0382,84.8
343,[=C][C][=N],19509,29737824,3.0402,85
344,[/C][=Branch2],19337,29718487,3.0421,85.2
345,[Ring2][Branch1],19317,29699170,3.0441,85.4
346,[N][C][C][=C][C][=C][C][=C][Ring1][=Branch1],19208,29679962,3.0461,85.5
347,[=Branch1][C][Branch1][C][N][=O],19172,29660790,3.0481,85.7
348,[Ring1][O][C][C][=C][Ring1][Branch2],19135,29641655,3.05,85.9
349,[#Branch2][Ring1][=Branch1],19028,29622627,3.052,86
350,[C][=C][C][=C][Branch1][#Branch2],18983,29603644,3.0539,86.2
351,[O][Ring1][#Branch1],18978,29584666,3.0559,86.4
352,[C][C][C],18886,29565780,3.0579,86.5
353,[C][Ring1][=Branch2],18775,29547005,3.0598,86.7
354,[C][=C][Ring2][Ring1][O],18749,29528256,3.0617,86.8
355,[C][Ring1][S],18663,29509593,3.0637,87
356,[Branch1][C][C][=C],18524,29491069,3.0656,87.2
357,[#Branch1][O][C][Branch1][C][C][=O],18507,29472562,3.0675,87.3
358,[N][C][C][C][C][Ring1][Branch1],18479,29454083,3.0695,87.5
359,[N][C][C][C][C][C][C],18465,29435618,3.0714,87.6
360,[C][Ring1][P],18443,29417175,3.0733,87.8
361,[=C][S],18432,29398743,3.0752,87.9
362,[C][Branch2][Ring1][Ring2],18372,29380371,3.0772,88.1
363,[N][=C][Ring1][Branch1],18126,29362245,3.0791,88.2
364,[N][C][C][C][C][C][Ring1][=Branch1],18056,29344189,3.081,88.3
365,[C][C][=C][NH1],17960,29326229,3.0828,88.5
366,[C@@H1][Branch1][C][O][C@H1],17943,29308286,3.0847,88.6
367,[Branch2][Ring1][Ring2],17930,29290356,3.0866,88.7
368,[N][C][=C][Branch1],17914,29272442,3.0885,88.9
369,[/C][=C][/C][=Branch1][C][=O],17807,29254635,3.0904,89.1
370,[C][=C][Ring2][Ring1][=N],17769,29236866,3.0923,89.2
371,[#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],17701,29219165,3.0941,89.4
372,[#Branch1][C][C][Branch1][C][C],17638,29201527,3.096,89.5
373,[#Branch1][C][C][=Branch1][C][=O],17609,29183918,3.0979,89.7
374,[C][O][C][=C][C][Branch2][Ring1],17590,29166328,3.0997,89.8
375,[Ring1][Ring2],17515,29148813,3.1016,89.9
376,[C][=C][Ring2][Ring1][N],17398,29131415,3.1035,90.1
377,[=C][Ring1][#C],17392,29114023,3.1053,90.2
378,[N][C][=Branch1][C][=O][C@@H1],17373,29096650,3.1072,90.4
379,[N][C][C][C][Branch1],17364,29079286,3.109,90.6
380,[/C][=N],17358,29061928,3.1109,90.7
381,[C][Branch1][Ring1][O],17321,29044607,3.1127,90.8
382,[N][C][=Branch1][C][=O][C][C],17297,29027310,3.1146,91
383,[/N][=C][/C][=C],17237,29010073,3.1164,91.1
384,[S][C][C],17174,28992899,3.1183,91.2
385,[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F],17151,28975748,3.1201,91.4
386,[C][Branch1][C][Br],17135,28958613,3.122,91.5
387,[Branch2][Ring1][Ring1],17082,28941531,3.1238,91.7
388,[C][=C][C][=C][C][=N][Ring1][=Branch1],17066,28924465,3.1257,91.8
389,[C][Branch1][C][N][=N],17027,28907438,3.1275,91.9
390,[Ring1][=Branch1][C][=Branch1][C][=O],16992,28890446,3.1293,92.1
391,[C][Branch1][C][C][=N],16956,28873490,3.1312,92.2
392,[C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2],16901,28856589,3.133,92.3
393,[O][=C][Branch2][Ring2],16851,28839738,3.1348,92.4
394,[C][=Branch1][C][=O][N][Branch1],16839,28822899,3.1367,92.6
395,[C][C][C@],16822,28806077,3.1385,92.7
396,[Branch1][=Branch2],16753,28789324,3.1403,92.9
397,[P][=Branch1][C][=O][Branch1][C][O],16557,28772767,3.1421,93
398,[C][=C][Branch1][C][F],16549,28756218,3.1439,93.1
399,[=C][Ring1][=C],16479,28739739,3.1457,93.3
400,[C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1],16341,28723398,3.1475,93.4
401,[Ring2][C][C],16302,28707096,3.1493,93.6
402,[C][=C][Branch2][Ring2],16261,28690835,3.1511,93.8
403,[=N][C][=Branch1][C][=O],16223,28674612,3.1529,93.9
404,[/C][=C][\C],16180,28658432,3.1547,94
405,[S][S][=Branch1][C][=O][=Branch1][C][=O],16170,28642262,3.1565,94.1
406,[=C][C][=Branch1][C][=O],15991,28626271,3.1582,94.3
407,[Ring1][O][C][C][Branch1][Ring1][O],15913,28610358,3.16,94.4
408,[C][=C][C][=Branch1][C][=O],15885,28594473,3.1617,94.6
409,[C][Branch2][Branch1],15870,28578603,3.1635,94.7
410,[C][Branch2][Ring1][Ring1],15826,28562777,3.1652,94.8
411,[C][=Ring1][Branch1],15672,28547105,3.167,95
412,[O][C][O][Ring1][=Branch1],15662,28531443,3.1687,95.1
413,[C][C][Ring1][S],15639,28515804,3.1705,95.2
414,[C][C@H1][Branch1],15615,28500189,3.1722,95.4
415,[=C][Ring1][=N],15611,28484578,3.1739,95.6
416,[N][=Ring2],15603,28468975,3.1757,95.7
